Codes	Pop1990	Pop1991	Pop1992	Pop1993	Pop1994	Pop1995	Pop1996	Pop1997	Pop1998	Pop1999	Pop2000	Pop2001	Pop2002	Pop2003	Pop2004	Pop2005	Pop2006	Pop2007	Pop2008	Pop2009	Pop2010	Pop2011	GDP1995	GDP1996	GDP1997	GDP1998	GDP1999	GDP2000	GDP2001	GDP2002	GDP2003	GDP2004	GDP2005	GDP2006	GDP2007	GDP2008	GDP2009
SE02	1445640	1458482	1469882	1479157	1489881	1500619	1501136	1498037	1495407	1492338	1490348	1492078	1497304	1503423	1509841	1514549	1518077	1524509	1534529	1545587	1558292	1569248	19300	21600	21600	22000	23300	25900	24500	25900	26700	27700	28200	30100	31700	30900	26600
SE04	1207975	1219151	1229393	1237955	1245220	1259002	1264468	1266340	1268295	1271840	1274411	1279816	1286588	1294965	1302586	1311254	1320160	1335936	1351257	1367017	1383653	1396556	20200	22700	23600	23400	25000	27600	25700	27100	27900	28900	29400	31000	33600	31500	26800
SE06	857268	861471	863914	864126	865347	866355	862476	857107	850046	843437	837892	832524	829114	827067	826949	826188	825037	824853	825000	825149	825931	826820	20200	22000	22200	22300	23900	26200	24400	25800	26900	28100	28700	30400	31600	31200	26300
SE07	395277	396881	397289	396739	396640	396596	393874	391148	387497	383650	380004	376469	373664	372266	371750	371619	370764	370998	370386	370269	369708	369316	21800	23300	23500	24000	25000	27700	27500	27900	28500	29800	30600	31700	32400	33400	28800
SE08	512972	515703	518669	522076	525263	527423	526483	524215	521480	518276	514804	511878	509551	508862	508830	509460	509392	509467	508195	507489	507567	507895	20500	22300	22500	22400	23600	25900	25000	26300	27600	29400	30500	33500	33800	34800	27700
SE09	796058	801255	804531	805303	807848	812447	811464	808248	805040	801884	798344	797172	796515	796957	798528	799739	800054	802247	805353	807871	810066	811611	20100	22900	22900	23400	24100	27200	25500	26900	27900	29000	28300	30900	33100	32600	26900
SE0A	1682218	1696018	1705930	1716817	1728680	1745437	1751839	1755074	1756936	1759457	1762246	1769645	1777510	1786781	1796314	1805683	1814323	1827143	1838691	1851702	1866283	1879781	20900	23100	23600	23800	26200	28900	27700	28600	30400	31200	31700	33900	35300	34600	29300
UKC1	1159687	1163422	1157900	1157800	1157600	1156600	1154600	1152200	1150300	1148500	1147177	1146454	1145586	1145501	1146354	1148530	1151783	1155938	1161012	1165237	1170984	:	12400	13100	16000	16500	17600	19800	19500	19400	19300	21200	20800	22100	23300	20300	17700
UKC2	1436201	1436787	1431200	1434800	1433700	1429000	1425000	1420100	1414200	1407100	1399690	1395301	1394683	1394921	1394326	1395900	1398535	1400640	1404534	1412218	1424460	:	12400	13200	16300	18000	19100	21200	22300	23800	22500	23900	25400	26500	27200	23400	20200
UKD1	489474	489411	486800	487200	487100	486900	486800	487500	488600	488600	487874	487699	488319	490102	493136	495780	496696	496754	496329	495466	494697	:	13700	14400	17100	18300	18600	20800	20400	21600	21400	22200	22300	24800	26800	23100	20000
UKD2	959838	963198	963500	967000	971200	974200	976500	978600	980900	981200	981252	983061	984614	987062	990249	993525	996868	999594	1001915	1004283	1007486	:	16600	17700	22800	24800	26500	28900	31000	31200	29200	30600	31800	33500	34900	30700	25900
UKD3	2558112	2565659	2552400	2551100	2548300	2542900	2535800	2526600	2521900	2518700	2515913	2516217	2517039	2523138	2531852	2539638	2549003	2559796	2572725	2590437	2615144	:	13800	15000	18700	20100	22100	24900	25500	26000	25000	27200	27500	28700	29700	25300	21900
UKD4	1402805	1407845	1403900	1408500	1412800	1414300	1413400	1411900	1412200	1411800	1412499	1415703	1419139	1425272	1433392	1440798	1445700	1447343	1446401	1445422	1447496	:	13400	14200	16800	18000	19500	21600	21800	22500	21400	22800	23400	24100	25300	21900	19100
UKD5	1451562	1449808	1435500	1430100	1423400	1415100	1406300	1397400	1389700	1382400	1376131	1370925	1365849	1362314	1360183	1359066	1357175	1354354	1351546	1350404	1351998	:	10800	11300	14100	15800	16500	19600	19500	21200	20000	20900	21500	22700	23800	20700	18100
UKE1	870198	874911	873600	876800	880600	882900	881500	879200	877400	875800	874433	874791	878271	884562	892191	899216	904502	908488	912563	916242	919438	:	13800	15100	18200	19000	19000	21600	21900	23300	21900	23800	23900	24700	25900	21800	19300
UKE2	713271	716863	715900	717100	718400	722600	726500	729300	732400	736800	741936	748051	753835	758794	764293	769504	773926	778922	785045	792416	799304	:	13800	15000	19000	19800	21000	24600	24900	26000	25400	26500	26200	27500	29200	24900	21200
UKE3	1299610	1301230	1288500	1287700	1285400	1282000	1279400	1277400	1274900	1271800	1268131	1266406	1268270	1271957	1276915	1284068	1290744	1296829	1303766	1312256	1322813	:	11200	12000	14900	16900	17400	20200	20700	21700	20600	22500	23100	24500	25700	21600	18800
UKE4	2072546	2079616	2064600	2070000	2072600	2072800	2073500	2073500	2072900	2072700	2072967	2078378	2089033	2100386	2114655	2136037	2159433	2179858	2198228	2216876	2238127	:	14300	15300	19200	20700	23100	25500	26200	26700	25500	26900	27400	28600	29100	25700	21900
UKF1	1952909	1959749	1954500	1960300	1963800	1966400	1968900	1970900	1973300	1976300	1978406	1981104	1989303	2001609	2015028	2029043	2041575	2052460	2064468	2076448	2089452	:	13700	14700	17900	19200	21000	23400	24200	25400	23800	25500	26500	27700	28600	24500	21300
UKF2	1466702	1476169	1477600	1487900	1496900	1506300	1516100	1524100	1529600	1536900	1545417	1553843	1564441	1576095	1588552	1603268	1620689	1638830	1655137	1667110	1676416	:	14800	16000	20300	22300	23300	26800	26700	27200	26700	29000	29400	30600	32200	27900	24100
UKF3	584495	588733	592000	598100	603100	609000	614900	619200	623600	629400	636436	643901	651858	660193	669269	676972	682591	688531	693583	696764	700466	:	12800	13800	17000	17100	17300	19400	20900	21800	21400	21500	21000	22700	23800	20500	18000
UKG1	1167642	1171674	1163800	1170900	1177800	1184000	1188300	1194000	1201700	1207200	1211678	1218862	1226456	1232993	1238716	1244408	1250561	1257082	1264200	1269159	1271724	:	13400	14700	17500	19400	21500	23800	24300	24500	23000	25100	25800	27900	28200	24700	21400
UKG2	1452300	1458150	1452500	1455300	1459300	1464400	1466900	1469900	1476100	1480100	1482312	1486606	1490862	1494722	1499469	1503834	1507519	1510856	1515528	1520116	1524515	:	12200	13300	16400	18200	18500	20600	20600	21900	20900	22400	22500	24200	25200	21600	18800
UKG3	2625542	2627840	2617200	2615400	2610500	2604700	2604800	2598700	2589000	2584400	2576802	2569707	2569987	2574112	2578649	2587313	2596626	2602343	2613665	2630480	2646889	:	14900	15800	20300	21400	23100	25900	26600	27200	26000	27200	27600	28100	29600	25100	21400
UKH1	2051184	2069984	2070500	2074300	2079900	2091300	2106100	2121700	2137800	2151800	2165948	2177336	2187310	2205526	2226918	2249877	2272258	2292620	2316063	2336947	2358545	:	14400	15400	18800	19700	21100	24400	25400	26400	25200	27500	28000	30400	31200	26300	22600
UKH2	1510025	1516673	1518400	1525400	1531700	1538800	1545000	1553100	1564000	1576500	1588427	1598495	1607509	1615272	1620707	1628233	1639929	1653870	1672604	1691975	1711506	:	15800	17100	21600	24500	26500	30600	31100	32100	29900	32400	34500	34500	35900	31300	26500
UKH3	1541122	1544745	1543000	1548800	1554500	1561700	1568100	1575000	1582700	1592100	1602472	1611887	1620302	1628280	1636766	1647665	1660011	1674480	1694348	1713070	1729185	:	12500	13400	17000	18200	19300	22300	22500	23400	23800	25300	25100	26600	28200	24000	20400
UKI1	:	:	2598700	2599900	2607000	2620500	2642500	2664400	2685800	2725000	2777832	2832162	2874029	2891578	2903040	2929668	2961715	2989558	3016740	3045580	3072182	:	37100	40700	51800	56300	61800	69600	71800	75700	73700	78900	82300	88800	93900	85100	75900
UKI2	:	:	4230700	4237100	4252000	4272800	4301300	4330300	4354400	4384700	4417479	4447395	4471626	4482716	4493346	4519340	4554034	4584846	4618548	4665362	4717185	:	14100	15200	19000	21200	23000	25400	25100	25900	24800	26800	27300	28400	30100	25500	22000
UKJ1	1954545	1969026	1969900	1981800	1992900	2012400	2032500	2048700	2062500	2075400	2088952	2098583	2103322	2108852	2117761	2131442	2148738	2167656	2190256	2213732	2239547	:	18600	19900	24900	29000	32300	36100	36100	37700	36700	40000	40500	41900	44300	38000	32500
UKJ2	2442830	2454007	2445100	2449500	2455800	2466800	2477700	2491900	2507500	2527500	2545994	2553979	2560171	2566656	2575492	2587164	2602798	2622408	2643994	2664364	2687897	:	15400	16600	21600	22700	25000	28900	29800	30600	29300	30600	31100	33400	34800	30100	25900
UKJ3	1697581	1703752	1699300	1704900	1713100	1724200	1734400	1743900	1752200	1761400	1769787	1777436	1785116	1792884	1800780	1810739	1821917	1833776	1849182	1863510	1876967	:	13600	15700	19400	21400	22500	24900	26600	27900	25900	28000	29000	31000	32800	28600	25200
UKJ4	1529638	1533647	1528600	1528700	1530600	1533900	1537100	1542200	1548700	1557600	1568128	1577025	1584611	1593050	1603227	1614419	1625128	1636050	1648570	1660504	1674986	:	12700	13200	16200	17600	19300	21600	22500	23500	22900	24500	25700	26400	27600	24200	20600
UKK1	2057601	2068527	2068000	2078200	2087800	2096900	2104900	2116800	2130300	2143700	2157968	2168292	2177935	2190684	2207772	2229492	2250583	2273243	2297109	2316751	2339669	:	15800	17700	22500	25000	26400	29100	30000	31500	30500	32300	32500	33600	35400	30300	26100
UKK2	1120995	1126364	1126200	1132600	1139300	1147700	1153800	1160400	1167900	1173300	1180185	1188368	1195728	1201511	1205588	1210699	1217045	1225550	1233089	1234465	1236950	:	12500	13100	16200	17600	19700	23300	22900	23000	22300	24000	25600	26900	27800	24200	21400
UKK3	:	:	472300	473900	476100	478900	480600	483000	486600	490300	495030	499775	504890	510103	514233	517999	521941	526235	530037	532376	535365	:	9100	9800	11900	12800	13500	15900	16500	18500	17900	18700	18600	20900	21500	19200	16500
UKK4	:	:	1034600	1039100	1042200	1046000	1048200	1050000	1053600	1057900	1065833	1073784	1079364	1085364	1093655	1104299	1115002	1126126	1134198	1137222	1140502	:	12700	13600	16500	16400	18200	20200	21600	22300	20800	23400	23600	25600	26200	22900	19800
UKL1	:	:	1857400	1859400	1861000	1860700	1858000	1855700	1854400	1852900	1852710	1853860	1856794	1862445	1869992	1874798	1878273	1884553	1890981	1894551	1895856	:	11000	11800	14100	14600	15200	17300	17300	18200	17200	18400	19500	20300	21000	18100	15700
UKL2	:	:	1017900	1021200	1024500	1027300	1031900	1037400	1042800	1047100	1051024	1054692	1057442	1061092	1066155	1071998	1077754	1084483	1092132	1100148	1107019	:	15200	15800	19800	21700	23600	25700	26900	27200	26500	28300	28000	29700	31000	26600	22700
UKM1	:	:	1017900	1021200	1024500	1027300	1031900	1037400	1042800	1047100	1051024	1054692	1057442	1061092	1066155	1071998	1077754	1084483	1092132	1100148	1107019	:	15200	15800	19800	21700	23600	25700	26900	27200	26500	28300	28000	29700	31000	26600	22700
UKM2	:	:	:	1943554	1950684	1957633	1956650	1959488	1959268	1964270	1898002	1902374	1904354	1905787	1914347	1927570	1941100	1956616	1972075	1986637	2002483	:	15200	16700	20600	21700	22900	25800	26100	27800	26600	28700	29400	31800	33400	28600	25100
UKM3	:	:	:	2364348	2364863	2360979	2354711	2349706	2351916	2345903	2293410	2287840	2284726	2281041	2281482	2282744	2283400	2285828	2289224	2293376	2297793	:	13600	14300	17800	19300	20700	23600	24300	24900	24400	26100	27400	28700	29900	26400	22900
UKM4	:	:	:	2364348	2364863	2360979	2354711	2349706	2351916	2345903	2293410	2287840	2284726	2281041	2281482	2282744	2283400	2285828	2289224	2293376	2297793	:	13600	14300	17800	19300	20700	23600	24300	24900	24400	26100	27400	28700	29900	26400	22900
UKN0	1586162	1595371	1609897	1625117	1636811	1645336	1663305	1680291	1684471	1691824	1681179	1686348	1693190	1699841	1706687	1717584	1733000	1750597	1767300	1782163	1794362	:	11800	12800	15900	17200	18600	21500	21900	22500	21600	23300	24000	25300	26300	22300	19000
